"Location";"AdmArea";"District";"WorkStartDate";"WorkEndDate";"WorkType";"WorkStatus";"global_id";"NameOrg";"geodata_center";"geoarea";
"Нагатинская ул дом 18";"Южный административный округ";"район Нагатино-Садовники";"01.07.2017";"31.10.2017";"прочие";"закончены";"639709173";"ГУП «Мосводосток»";"0101000000CC9DB5B828D34240DDB5EE5DD7D64B40";"";
"Мосфильмовская улица дом 49";"Западный административный округ";"район Раменки";"01.06.2017";"31.10.2017";"прочие";"закончены";"639709192";"ГУП «Мосводосток»";"010100000094846B4E54C04240B2389C8795DA4B40";"";
"восьмая улица соколиной горы дом 18";"Восточный административный округ";"район Соколиная Гора";"01.07.2017";"31.10.2017";"прочие";"закончены";"639709201";"ГУП «Мосводосток»";"01010000002AFFAE4D4CDE42408135C36E47E24B40";"";
"Русаковская улица дом 10";"Восточный административный округ";"район Сокольники";"01.07.2017";"31.10.2017";"прочие";"закончены";"639709216";"ГУП «Мосводосток»";"0101000000CC97D5B84ED64240E35D3B8A52E44B40";"";
"Новочеркасский бульвар дом 25";"Юго-Восточный административный округ";"район Марьино";"01.07.2017";"31.10.2017";"прочие";"закончены";"639709226";"ГУП «Мосводосток»";"0101000000F9214B7EF9DD4240A9E1F315F6D24B40";"";
"Ижорский проезд дом 17";"Северный административный округ";"Дмитровский район";"01.06.2017";"31.10.2017";"прочие";"закончены";"639709247";"ГУП «Мосводосток»";"0101000000C5A229BC2BC242409DD56298B5F14B40";"";
"Алтуфьевское шоссе дом 43 А";"Северо-Восточный административный округ";"район Отрадное";"01.07.2017";"30.12.2017";"прочие";"закончены";"639709255";"АО «Мосводоканал»";"010100000033CF0EE6D2C9424076A04FD755EF4B40";"";
"Фестивальная улица дом 4";"Северный административный округ";"Головинский район";"01.06.2017";"31.10.2017";"прочие";"закончены";"639709326";"ГУП «Мосводосток»";"0101000000787E3C8FCFBE4240416E81BBB8ED4B40";"";
"Академика Анохина улица дом 38";"Западный административный округ";"район Тропарёво-Никулино";"01.07.2017";"01.12.2017";"прочие";"закончены";"639709347";"АО «Мосводоканал»";"0101000000F81745F419BC4240B403776756D44B40";"";
"Крылатская улица дом 8";"Западный административный округ";"район Крылатское";"01.07.2017";"31.10.2017";"прочие";"закончены";"639709360";"ГУП «Мосводосток»";"01010000008B78E6ABD1B74240D3DBEE750FE14B40";"";
"Мосфильмовская улица дом 78";"Западный административный округ";"район Раменки";"01.07.2017";"31.10.2017";"прочие";"закончены";"639709575";"ГУП «Мосводосток»";"01010000009A7889A239C042405020A62BC8DA4B40";"";
"Симоновский вал от дома от дома 8 до дома 26";"Центральный административный округ";"Таганский район";"01.07.2017";"30.12.2017";"прочие";"закончены";"639709591";"АО «Мосводоканал»";"010100000043B2EA4CF0D44240EF4B42BAABDC4B40";"";
"Каланчевская улица дом 17";"Центральный административный округ";"Красносельский район";"01.09.2017";"30.12.2017";"прочие";"закончены";"639709592";"АО «Мосводоканал»";"0101000000B5A488128AD3424088CC68E206E34B40";"";
"улица Александра Солженицина от Таганской площади до Николоямской улицы";"Центральный административный округ";"Таганский район";"01.07.2017";"01.11.2017";"прочие";"закончены";"639709604";"ГУП «Мосводосток»";"0101000000722B72FFCED44240DF5D2FC539DF4B40";"";
"Абельмановская улица от метро Крестьянская застава до дома 9";"Центральный административный округ";"Таганский район";"01.07.2017";"31.10.2017";"прочие";"закончены";"639709615";"ГУП «Мосводосток»";"0101000000A3765EEEA1D54240EF3E1A28E6DD4B40";"";
"город Москва, ЦАО, Руновский переулок дом10";"Центральный административный округ";"район Замоскворечье";"13.07.2017";"27.12.2017";"прочие";"закончены";"641302385";"ГУП «Мосводосток»";"0101000000FBB71E4F6DD1424037BD12271DDF4B40";"";
"Рочдельская улица дом15";"Центральный административный округ";"Пресненский район";"02.10.2017";"27.12.2017";"прочие";"закончены";"641323878";"ГУП «Мосводосток»";"010100000076B81EEA17C84240E11AC3CBEBE04B40";"";
"Пересечение ул. Авиаконструктора Микояна и ул. Авиаконструктора Сухого";"Северный административный округ";"Хорошёвский район";"01.07.2017";"25.09.2018";"прочие";"закончены";"660460819";"ГУП «Москоллектор»";"010100000084B89E72B7C542408A6FEAC7C6E44B40";"";
"ул. Шереметьевская д.85, с.2.";"Северо-Восточный административный округ";"Останкинский район";"26.11.2017";"18.07.2019";"прочие";"закончены";"660460879";"ГУП «Москоллектор»";"0101000000E8AF14E8FDCE42403A51691BA8E74B40";"";
"Пересечение ул. Шереметьевская, ул. Калибровская и ул. Новомосковская.";"Северо-Восточный административный округ";"Останкинский район";"18.10.2017";"18.07.2019";"прочие";"закончены";"660460887";"ГУП «Москоллектор»";"01010000005029EF703BCF4240B20DA9D9E4E74B40";"";
"Энергетическая улица, дом 2, корпус 10, улица Лапина, дом 17А, улица Лефортовский Вал";"Юго-Восточный административный округ";"район Лефортово";"09.01.2017";"30.06.2018";"прочие";"закончены";"660460890";"АО «Мосгаз»";"0101000000C7F52D99C7D942401E43A09131E14B40";"";
"Пересечение Огородного проезда с 17-м проездом Марьиной Рощи.";"Северо-Восточный административный округ";"район Марьина Роща";"18.05.2017";"18.07.2019";"прочие";"закончены";"660460899";"ГУП «Москоллектор»";"0101000000B234B2570ACE42404EF6F6EB9AE74B40";"";
"Орловский переулок, улица Щепкина";"Центральный административный округ";"Мещанский район";"13.02.2017";"26.11.2017";"прочие";"закончены";"660460904";"АО «Мосгаз»";"01010000001889A01867D0424097DFBB7285E44B40";"";
"15-й проезд Марьиной Рощи,
ул. Шереметьевская д. 45";"Северо-Восточный административный округ";"район Марьина Роща";"27.09.2017";"18.07.2019";"прочие";"закончены";"660460905";"ГУП «Москоллектор»";"01010000000C8B6A6E99CE42403A25C6489CE74B40";"";
"Кутузовский проезд д. 16, стр.18.";"Западный административный округ";"район Дорогомилово";"13.02.2017";"16.07.2019";"прочие";"закончены";"660460918";"ГУП «Москоллектор»";"01010000004EB89EBBE9C2424074827B2974DF4B40";"";
"Улица Реутовская, улица Вешняковская, улица Старый Гай";"Восточный административный округ";"район Вешняки";"21.02.2017";"01.10.2018";"прочие";"закончены";"660460938";"АО «Мосгаз»";"01010000008590F8C72CEA4240E680F1EEB2DE4B40";"";
"ул. Тестовская д.20 А, стр. 2.";"Центральный административный округ";"Пресненский район";"01.11.2016";"16.07.2019";"прочие";"закончены";"660460972";"ГУП «Москоллектор»";"010100000091FB89218AC34240E4B7DE2BDADF4B40";"";
"Строгановский проезд, улица Волочаевская";"Юго-Восточный административный округ";"район Лефортово";"10.05.2017";"02.04.2018";"прочие";"закончены";"660460978";"АО «Мосгаз»";"01010000000AB81E596DD642406E166CF118E04B40";"";
"Большой Харитоньевский переулок, Малый Харитоньевский переулок, Большой Козловский переулок, Малый Козловский переулок, Хомутовский тупик, улица Садовой-Черногрязной, улица Чаплыгина, улица Машкова";"Центральный административный округ";"Басманный район";"16.05.2017";"01.04.2018";"прочие";"закончены";"660460986";"АО «Мосгаз»";"0101000000CC48EB5D5AD342404D15E30D13E24B40";"";
"Улица Октябрьская, 5-й проезд Марьиной Рощи";"Северо-Восточный административный округ";"район Марьина Роща";"25.05.2017";"28.12.2017";"прочие";"закончены";"660460988";"АО «Мосгаз»";"01010000000DB81E8B61CE4240A1C7BEF32FE64B40";"";
"Улица Студенческая, улица Дунаевского, улица Платовская, улица Можайский Вал";"Западный административный округ";"район Дорогомилово";"01.06.2017";"30.04.2019";"прочие";"закончены";"660460989";"АО «Мосгаз»";"0101000000A483E56818C642408C4FD518FCDE4B40";"";
"Улица Кошкина,";"Южный административный округ";"район Москворечье-Сабурово";"27.06.2017";"30.04.2019";"прочие";"закончены";"660461002";"АО «Мосгаз»";"01010000003FB81EBB47D64240D570BFB38DD14B40";"";
"Улица Октябрьская, 5-й проезд Марьиной Рощи, 3-й проезд Марьиной Рощи,";"Северо-Восточный административный округ";"район Марьина Роща";"01.07.2017";"10.10.2018";"прочие";"закончены";"660461733";"АО «Мосгаз»";"010100000043BE46D77BCE4240EE5B9687ECE54B40";"";
"Улица Черное Озеро";"Восточный административный округ";"район Косино-Ухтомский";"05.07.2017";"28.12.2017";"прочие";"закончены";"660462092";"АО «Мосгаз»";"0101000000FB11FAC00BEE424074250C31E6DB4B40";"";
"Улица Маломосковская, 1-й Рижский переулок";"Северо-Восточный административный округ";"Алексеевский район";"18.07.2017";"30.05.2018";"прочие";"закончены";"660466442";"АО «Мосгаз»";"010100000097A351F023D34240042C7DE111E84B40";"";
"Волжский бульвар, 8-я улица Текстильщиков, 10-я улица Текстильщиков, 11-я улица Текстильщиков";"Юго-Восточный административный округ";"район Текстильщики";"07.08.2017";"30.04.2019";"прочие";"закончены";"660467903";"АО «Мосгаз»";"010100000029EE1F50A1E0424002BFDF71BBD94B40";"";
"Улица Коминтерна, улица Летчика Бабушкина";"Северо-Восточный административный округ";"Бабушкинский район";"24.08.2017";"16.07.2018";"прочие";"закончены";"660468354";"АО «Мосгаз»";"010100000095B89EE74FD64240CD5FE7A72DEE4B40";"";
"Улица Баррикадная, улица Красная Пресня";"Центральный административный округ";"Пресненский район";"22.08.2017";"29.11.2017";"прочие";"закончены";"660468879";"АО «Мосгаз»";"0101000000DFF1E1DAE9C84240197EB66987E14B40";"";
"1-й Коптельский переулок, Грохольский переулок, улица Большая Спасская, Ананьевский переулок, Сретенский тупик, улица Садовая-Спасская";"Центральный административный округ";"Басманный район";"31.03.2017";"12.04.2018";"прочие";"закончены";"660471146";"АО «Мосгаз»";"010100000018B89E07ADD14240D54E15D315E34B40";"";
"Причальный проезд, Силикатный проезд";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"22.09.2017";"16.06.2018";"прочие";"закончены";"660471507";"АО «Мосгаз»";"0101000000B874F6FA5DC242400A5678D14DE14B40";"";
"Шоссе Фрезер, дом, 32, строение 3";"Юго-Восточный административный округ";"Нижегородский район";"04.08.2017";"28.01.2018";"прочие";"закончены";"660473251";"АО «Мосгаз»";"01010000000A8241BDDEDD4240889C6B3316DE4B40";"";
"Улица Артамонова, улица Ватутина";"Западный административный округ";"район Фили-Давыдково";"25.05.2017";"14.11.2017";"прочие";"закончены";"660473586";"АО «Мосгаз»";"01010000004E70452543BA4240E92640B825DC4B40";"";
"Семеновская набережная, улица Голяновская";"Центральный административный округ";"Басманный район";"16.05.2018";"31.10.2018";"прочие";"закончены";"660473802";"АО «Мосгаз»";"0101000000F83835B615DA4240DE7965B571E34B40";"";
"Никитинская улица, дом 2";"Восточный административный округ";"район Северное Измайлово";"01.08.2017";"25.12.2017";"прочие";"закончены";"660473959";"АО «Мосгаз»";"0101000000D62A398537E34240A6B45458CBE54B40";"";
"Сиреневый бульвар, дом, 14 корпус, 1";"Восточный административный округ";"район Измайлово";"09.10.2017";"25.12.2017";"прочие";"закончены";"660474491";"АО «Мосгаз»";"0101000000F4DB557A6BE44240722A18C2B6E64B40";"";
"Улица Авиамоторная, проезд Энтузиастов";"Юго-Восточный административный округ";"район Лефортово";"24.04.2017";"30.08.2020";"прочие";"закончены";"660474760";"АО «Мосгаз»";"01010000000D01AA4DFBDB4240BCD953474CE04B40";"";
"Проектируемый проезд";"Юго-Восточный административный округ";"Рязанский район";"21.04.2017";"30.05.2018";"прочие";"закончены";"660475030";"АО «Мосгаз»";"0101000000EA9962BDBCDE424097CB1B08C4DC4B40";"";
"Петровско - Разумовский проезд, дом, 21, строение 3";"Северный административный округ";"Савёловский район";"16.10.2017";"09.11.2017";"прочие";"закончены";"660475581";"АО «Мосгаз»";"010100000025D1218B84C84240D3C991B457E64B40";"";
"Орехово-Зуевский проезд";"Юго-Восточный административный округ";"Нижегородский район";"26.09.2017";"09.11.2017";"прочие";"закончены";"660516145";"АО «Мосгаз»";"0101000000B3994FACBBE04240701A5C7AAEDD4B40";"";
"Улица Проходчиков, дом 4, строение 2";"Северо-Восточный административный округ";"Ярославский район";"24.10.2017";"13.11.2017";"прочие";"закончены";"660518376";"АО «Мосгаз»";"01010000009346C7CB3ADC42407358B40204F04B40";"";
"3-я Павллоградская, дом 1";"Юго-Западный административный округ";"район Южное Бутово";"25.10.2017";"25.12.2017";"прочие";"закончены";"660518378";"АО «Мосгаз»";"0101000000B94A2E53ADC942406FAF6EF785C54B40";"";
"Левобережная улица";"Северный административный округ";"район Левобережный";"29.09.2017";"10.05.2018";"прочие";"закончены";"660582056";"АО «Мосгаз»";"01010000006CB89E5D21BC4240A697582813F04B40";"";
"Первомайская улица";"Восточный административный округ";"район Измайлово";"20.10.2017";"30.09.2018";"прочие";"закончены";"660599638";"АО «Мосгаз»";"01010000005BB89E7397E442405F84E90D83E54B40";"";
"Улица Черное озеро";"Восточный административный округ";"район Косино-Ухтомский";"20.10.2017";"06.04.2018";"прочие";"закончены";"660599642";"АО «Мосгаз»";"0101000000B380DB0234EE4240221025A6A1DB4B40";"";
"Острякова улица, улица Викторенко";"Северный административный округ";"Хорошёвский район";"18.10.2017";"30.04.2019";"прочие";"закончены";"660599661";"АО «Мосгаз»";"0101000000496437C3FEC2424055F4673E5CE64B40";"";
"Улица Оранжерейная, Ветлужская улица";"Восточный административный округ";"район Косино-Ухтомский";"24.10.2017";"18.12.2018";"прочие";"закончены";"660599663";"АО «Мосгаз»";"010100000052824DA2E9ED4240D83F313802DC4B40";"";
"Скаковая аллея, дом 9";"Северный административный округ";"район Беговой";"15.10.2017";"26.02.2018";"прочие";"закончены";"660601822";"ПАО «МОЭК»";"010100000008B81E8C57C842407F59799305E44B40";"";
"Скаковая улица, дом 34, корпус 2";"Северный административный округ";"район Беговой";"30.01.2018";"26.02.2018";"прочие";"закончены";"660601843";"ПАО «МОЭК»";"01010000001EADEDB131C94240E725BD419AE34B40";"";
"Каширское шоссе, дом 22, корпус 3, строение 17";"Южный административный округ";"район Москворечье-Сабурово";"15.09.2017";"20.11.2017";"прочие";"закончены";"660601917";"ПАО «МОЭК»";"010100000020B81EA1EDD14240D2990DBA6ED44B40";"";
"Уссурийская улица, дом 9";"Восточный административный округ";"район Гольяново";"15.09.2017";"15.11.2017";"прочие";"закончены";"660602167";"ПАО «МОЭК»";"01010000006AFBBC55FEE842402639685663E94B40";"";
"улица Жебрунова, дом 4";"Восточный административный округ";"район Сокольники";"28.08.2017";"29.01.2018";"прочие";"закончены";"660602222";"ПАО «МОЭК»";"0101000000A64C64C9D2D64240EB75F4CB83E44B40";"";
"Автозаводская улица, дом 23, корпус 6";"Южный административный округ";"Даниловский район";"15.08.2017";"15.12.2017";"прочие";"закончены";"660602260";"ПАО «МОЭК»";"01010000006C7FDA0B2FD24240D4E838EF1ADA4B40";"";
"улица Фомичёвой, дом 13";"Северо-Западный административный округ";"район Северное Тушино";"15.02.2018";"31.07.2018";"прочие";"закончены";"661246037";"ПАО «МОЭК»";"010100000046B89EC931B842404664B25991ED4B40";"";
"Улица Черное Озеро";"Восточный административный округ";"район Косино-Ухтомский";"06.11.2017";"01.06.2018";"прочие";"закончены";"668770366";"АО «Мосгаз»";"01010000005A71941B39EE424053D3D56283DB4B40";"";
"Улица Большая Косинская, дом 19";"Восточный административный округ";"район Косино-Ухтомский";"09.11.2017";"28.12.2017";"прочие";"закончены";"670664907";"АО «Мосгаз»";"0101000000A0AB557EA1ED42407B270513B3DB4B40";"";
"улица Фридриха Энгельса, дом 56, строение 1";"Центральный административный округ";"Басманный район";"20.11.2017";"30.11.2017";"прочие";"закончены";"680940658";"ПАО «МОЭК»";"010100000017EBC9D97DD842408173453073E34B40";"";
"Очаковское шоссе, дом 40, строение 1";"Западный административный округ";"район Очаково-Матвеевское";"20.11.2017";"15.01.2018";"прочие";"закончены";"680978107";"ПАО «МОЭК»";"0101000000BB280CBDA2B84240173134CCF2D74B40";"";
"Улица Минская х с Кутузовским проспектом";"Западный административный округ";"район Фили-Давыдково";"23.11.2017";"25.12.2017";"прочие";"закончены";"683336371";"АО «Мосгаз»";"010100000013B81E9DD7BE4240715FB25A65DD4B40";"";
"Улица Гвардейская, дом 15";"Западный административный округ";"Можайский район";"24.11.2017";"25.12.2017";"прочие";"закончены";"683336974";"АО «Мосгаз»";"01010000002EFA58A73BB642408D65F708C5DC4B40";"";
"Улица Ленинская Слобода";"Южный административный округ";"Даниловский район";"05.12.2017";"10.06.2018";"прочие";"закончены";"703673615";"АО «Мосгаз»";"01010000001DD8EFD3DED242406F97A1C93FDA4B40";"";
"Улица Захарьинская, дом 8, строение 1";"Северо-Западный административный округ";"район Куркино";"05.12.2017";"01.04.2018";"прочие";"закончены";"707714153";"АО «Мосгаз»";"01010000003B4284CAFEB0424084330A34C5F14B40";"";
"Гороховский переулок территория Сада имени Баумана";"Центральный административный округ";"Басманный район";"01.11.2017";"30.12.2017";"прочие";"закончены";"796195595";"АО «Мосводоканал»";"01010000005A1EF2859AD4424024A2DD73EDE14B40";"";
"1-я Прядильная, дом, 8";"Восточный административный округ";"район Измайлово";"22.12.2017";"28.12.2017";"прочие";"закончены";"804004247";"АО «Мосгаз»";"010100000050B4FDB34FE342402FF5665AA4E54B40";"";
"3-я Парковая улица, дом 33";"Восточный административный округ";"район Измайлово";"22.12.2017";"28.12.2017";"прочие";"закончены";"804006472";"АО «Мосгаз»";"0101000000345F843D27E44240D7D36E11E8E54B40";"";
"Улица Пудовкина, дом 4";"Западный административный округ";"район Раменки";"22.12.2017";"22.03.2018";"прочие";"закончены";"804009278";"АО «Мосгаз»";"0101000000A0BDB4EB08C44240B26AF58F24DD4B40";"";
"Улица Стартовая, улица Челюскинская, улица Норильская";"Северо-Восточный административный округ";"Лосиноостровский район";"15.01.2018";"01.06.2020";"прочие";"закончены";"832203458";"АО «Мосгаз»";"0101000000252FDB9C7ADA42404F113389E1F04B40";"";
"Улица Васильевская, улица 2-я Брестская, улица Гашека, улица Юлиуса Фучика";"Центральный административный округ";"Тверской район";"15.01.2018";"01.06.2018";"прочие";"закончены";"832206392";"АО «Мосгаз»";"01010000003AB91DA862CB424072DE336CCBE24B40";"";
"Шоссе Фрезер, Перовское шоссе";"Юго-Восточный административный округ";"Нижегородский район";"16.01.2018";"30.04.2019";"прочие";"закончены";"832649134";"АО «Мосгаз»";"010100000083B577E7E2DD42401DB8F89713DE4B40";"";
"Большая Татарская улица, Руновский переулок, Малый Татарский переулок, Вишняковский переулок, Старый Толмачевский переулок";"Центральный административный округ";"район Замоскворечье";"17.01.2018";"02.07.2019";"прочие";"закончены";"832649137";"АО «Мосгаз»";"010100000032C8278301D142408D4B1D0AC4DE4B40";"";
"Остаповский проезд, Угрешская улица";"Юго-Восточный административный округ";"Нижегородский район";"22.01.2018";"17.07.2019";"прочие";"закончены";"833036596";"АО «Мосгаз»";"01010000006E4A1608A6DA424007A65B18E7DB4B40";"";
"Водопроводный переулок, дом 2, строение 3";"Центральный административный округ";"Мещанский район";"18.01.2018";"14.03.2018";"прочие";"закончены";"833041945";"АО «Мосгаз»";"0101000000529B876763D14240E0278582CFE54B40";"";
"Жуков проезд, дом 15, строение 1";"Центральный административный округ";"район Замоскворечье";"22.01.2018";"06.02.2018";"прочие";"закончены";"835212075";"АО «Мосгаз»";"010100000029B89E1AB8D142402CDEFFB491DC4B40";"";
"1-й Красковский проезд, д.38 к.1";"Восточный административный округ";"район Косино-Ухтомский";"15.01.2018";"02.04.2018";"прочие";"закончены";"835212096";"АО «Мосгаз»";"010100000092EA513912F442403329B1D48DDB4B40";"";
"Азовская улица, Черноморский бульвар";"Юго-Западный административный округ";"район Зюзино";"15.02.2018";"30.04.2019";"прочие";"закончены";"838827734";"АО «Мосгаз»";"010100000045BD021D58CC4240E0FB01E5B7D24B40";"";
"Златоустинский большой переулок";"Центральный административный округ";"Басманный район";"26.01.2018";"15.04.2018";"прочие";"закончены";"839452436";"АО «Мосводоканал»";"010100000052B89E06DCD04240E75570FB30E14B40";"";
"Подколокольный переулок";"Центральный административный округ";"Басманный район";"26.01.2018";"15.04.2018";"прочие";"закончены";"839560726";"АО «Мосводоканал»";"01010000001606DE0041D2424012E98A9F5EE04B40";"";
"Армянский переулок";"Центральный административный округ";"Басманный район";"26.01.2018";"15.04.2018";"прочие";"закончены";"839584780";"АО «Мосводоканал»";"010100000068B81EF65CD14240E17FEA9253E14B40";"";
"Миусский переулок";"Северо-Восточный административный округ";"район Отрадное";"27.01.2018";"15.04.2018";"прочие";"закончены";"839605930";"АО «Мосводоканал»";"01010000001093EDF79ACB42407731A7ADB4E34B40";"";
"1 Миусская улица";"Центральный административный округ";"Тверской район";"27.01.2018";"15.04.2018";"прочие";"закончены";"839628013";"АО «Мосводоканал»";"0101000000EE61D49913CC4240EF2D1CE5DDE34B40";"";
"Малый Златоустьинский переулок";"Центральный административный округ";"Басманный район";"26.01.2018";"15.04.2018";"прочие";"закончены";"839644198";"АО «Мосводоканал»";"010100000063602EFD38D14240AAF383BB30E14B40";"";
"Тараса Шевченко набережная";"Западный административный округ";"район Дорогомилово";"25.01.2018";"31.05.2018";"прочие";"закончены";"839670571";"АО «Мосводоканал»";"01010000001DAAF97C30C942402C82F02303E04B40";"";
"Кривоколенный переулок";"Центральный административный округ";"Басманный район";"26.01.2018";"15.04.2018";"прочие";"закончены";"839681718";"АО «Мосводоканал»";"0101000000742BF8747BD1424062CD9D3893E14B40";"";
"Старосадский переулок";"Центральный административный округ";"Басманный район";"26.01.2018";"15.04.2018";"прочие";"закончены";"839695778";"АО «Мосводоканал»";"0101000000406D7012D8D14240BBA94ADCCDE04B40";"";
"Образцовая улица дом 9 д31";"Северо-Восточный административный округ";"Бутырский район";"26.01.2018";"01.09.2018";"прочие";"закончены";"839704163";"АО «Мосводоканал»";"0101000000431E29870ECE4240E09D613435E54B40";"";
"Большая Дорогомиловская улица";"Западный административный округ";"район Дорогомилово";"26.01.2018";"15.04.2018";"прочие";"закончены";"839752542";"АО «Мосводоканал»";"01010000002DB81EA57BC74240AD0AB6F989DF4B40";"";
"Большая Дорогомиловская улица";"Западный административный округ";"район Дорогомилово";"25.01.2018";"15.04.2018";"прочие";"закончены";"839756771";"АО «Мосводоканал»";"010100000013B81EB37CC74240D4A8CFD184DF4B40";"";
"Большая Дорогомиловская улица";"Западный административный округ";"район Дорогомилово";"28.02.2018";"15.04.2018";"прочие";"закончены";"839762156";"АО «Мосводоканал»";"01010000005AB81EB3C8C642404DDC736E83DF4B40";"";
"Петроверигский переулок";"Центральный административный округ";"Басманный район";"26.01.2018";"15.04.2018";"прочие";"закончены";"839796328";"АО «Мосводоканал»";"01010000007EB2901FA1D142405F78DF77E1E04B40";"";
"Улица Маросейка, Петроверигский переулок, Старосадский переулок, Большой Златоустинский переулок, Большой Спасоглинищевский переулок";"Центральный административный округ";"Басманный район";"29.01.2018";"31.05.2018";"прочие";"закончены";"841751427";"АО «Мосгаз»";"0101000000FAB20CFD2AD14240743C3CA4F7E04B40";"";
"Улица Полбина";"Юго-Восточный административный округ";"район Печатники";"02.02.2018";"30.05.2018";"прочие";"закончены";"841780268";"АО «Мосгаз»";"010100000039B89E6346DC4240E10039775AD54B40";"";
"Богданова улица, дом 2";"Западный административный округ";"район Солнцево";"05.02.2018";"30.04.2018";"прочие";"закончены";"841877168";"АО «Мосгаз»";"0101000000614A10D79FB4424071D50ABE61D44B40";"";
"Певческий переулок дом 1";"Центральный административный округ";"Таганский район";"01.03.2018";"15.04.2018";"прочие";"закончены";"860013755";"АО «Мосводоканал»";"01010000000DC8DFBB34D24240F4ED07014AE04B40";"";
"Лучников переулок";"Центральный административный округ";"Таганский район";"01.03.2018";"20.05.2018";"прочие";"закончены";"860013777";"АО «Мосводоканал»";"0101000000BBB64542DFD04240E575EF262CE14B40";"";
